date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:19:50	75211/75211	---M--	200	added ('OK')	application/pdf	etag:%22125cb-557ad47befef8%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week2P.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week2P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:19:51	34047/34047	---M--	200	added ('OK')	application/pdf	etag:%2284ff-557ad47c29cb7%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week3P.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week3P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:19:52	157876/157876	---M--	200	added ('OK')	application/pdf	etag:%22268b4-557ad47c1e522%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week3.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week3.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:19:53	117182/117182	---M--	200	added ('OK')	application/pdf	etag:%221c9be-557ad47c655c8%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week4.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week4.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:19:53	54807/54807	---M--	200	added ('OK')	application/pdf	etag:%22d617-557ad47c67cda%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week4P.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week4P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:19:55	162572/162572	---M--	200	added ('OK')	application/pdf	etag:%2227b0c-557ad47cba141%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week5.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week5.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:19:55	33703/33703	---M--	200	added ('OK')	application/pdf	etag:%2283a7-557ad47c9ebc2%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week5P.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week5P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:19:57	156129/156129	---M--	200	added ('OK')	application/pdf	etag:%22261e1-557ad47cf8d13%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week6.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week6.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:19:57	230/230	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:19:57%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20FA16/JJKWeek6.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/JJKWeek6.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:19:59	132448/132448	---M--	200	added ('OK')	application/pdf	etag:%2220560-557ad47d08714%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week6P.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week6P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:20:00	39018/39018	---M--	200	added ('OK')	application/pdf	etag:%22986a-557ad47d457ba%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week7P.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week7P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:20:01	37515/37515	---M--	200	added ('OK')	application/pdf	etag:%22928b-557ad47d84778%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week8abs.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week8abs.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:20:02	669438/669438	---M--	200	added ('OK')	application/pdf	etag:%22a36fe-557ad47d6ebcd%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week7.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week7.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:20:02	227/227	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:20:02%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week8.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week8.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:20:03	228/228	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Aug%202019%2012:20:03%20GMT	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week8P.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week8P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:20:05	138147/138147	---M--	200	added ('OK')	application/pdf	etag:%2221ba3-557ad47dc1fd8%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week9.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week9.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:20:06	76187/76187	---M--	200	added ('OK')	application/pdf	etag:%221299b-557ad47dcb061%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week9P.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week9P.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:20:07	147807/147807	---M--	200	added ('OK')	application/pdf	etag:%222415f-557ad47b1f701%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week10.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week10.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
08:20:08	181142/181142	---M--	200	added ('OK')	application/pdf	etag:%222c396-557ad47b40e2b%22	https://www3.nd.edu/~jquigle2/GSTS%20FA16/Week11.pdf	www3.nd.edu/_jquigle2/GSTS%20FA16/Week11.pdf	(from https://www3.nd.edu/~jquigle2/GSTS%20FA16/GSTS%20FA16.html)
